,Media Source,Tweet,DateTime,Tweets Ago,Compound,Positive,Neutral,Negative
0,@nytimes,Republicans appear ready to abandon fiscal doctrine in their push for a tax overhaul https://t.co/IojGyljeV4,2017-09-20 03:17:07+00:00,1,-0.1027,0.144,0.69,0.167
1,@nytimes,"As UC Berkeley braces for more protests over speakers, Times reporters would like to hear from students and faculty: https://t.co/tfB1DksvSn",2017-09-20 03:02:06+00:00,2,0.079,0.11,0.793,0.097
2,@nytimes,"International tourism to the U.S. declined in early 2017, representing a loss of nearly $2.7 billion in spending https://t.co/1PcMGKFOsD",2017-09-20 02:47:01+00:00,3,-0.3182,0.0,0.881,0.119
3,@nytimes,Critics say Michael Dourson is too closely tied to the chemical industry to be the EPA's chief regulator https://t.co/bQP0WYbjYz,2017-09-20 02:32:05+00:00,4,-0.296,0.0,0.891,0.109
4,@nytimes,"He was 22 when he was charged with capital murder. 10 years later, he is still awaiting trial. https://t.co/vFrEdyX9JK",2017-09-20 02:17:07+00:00,5,-0.7579,0.0,0.723,0.277
5,@nytimes,Republican leaders pressed toward a showdown vote on the latest Affordable Care Act repeal https://t.co/t4a3Tw1DeH,2017-09-20 02:02:03+00:00,6,0.4939,0.198,0.802,0.0
6,@nytimes,"RT @NYTSports: With an 8th-inning solo shot, Alex Gordon broke the 17-year-old record for MLB. https://t.co/YBABCjJDrz",2017-09-20 01:50:48+00:00,7,-0.4215,0.0,0.843,0.157
7,@nytimes,RT @NYTStyles: Colored eyeliner isn’t as tricky as it sounds — wear it liberally. Here’s how. https://t.co/vQEURtLY1p,2017-09-20 01:47:05+00:00,8,-0.1531,0.0,0.904,0.096
8,@nytimes,Hank Green's first novel will grapple with themes like internet fame and the anxiety and awkwardness it can bring https://t.co/3mKxR0IXTn,2017-09-20 01:32:07+00:00,9,0.6486,0.295,0.575,0.13
9,@nytimes,Death toll in Mexico earthquake continues to climb as rescuers frantically dig out people who are trapped https://t.co/upEQGFGbto,2017-09-20 01:17:05+00:00,10,-0.8658,0.0,0.607,0.393
10,@nytimes,Evening Briefing: Here's what you need to know at the end of the day https://t.co/L6BMSDLroC,2017-09-20 01:02:02+00:00,11,0.0,0.0,1.0,0.0
11,@nytimes,RT @nytvideo: Hurricane Maria tore roofs off of houses on the Caribbean island of Dominica and caused flooding in Guadeloupe. https://t.co/…,2017-09-20 00:52:00+00:00,12,0.0,0.0,1.0,0.0
12,@nytimes,"On Barbuda, where Hurricane Irma destroyed everything in its path, there is not a single person left, officials said https://t.co/9Tl8l7IMjP",2017-09-20 00:42:07+00:00,13,-0.4939,0.0,0.849,0.151
13,@nytimes,Photographing Abkhazia: “I wanted to show something beautiful and I wanted to show that there’s happiness”… https://t.co/BEimc7MrBl,2017-09-20 00:32:05+00:00,14,0.5994,0.206,0.794,0.0
14,@nytimes,RT @EricLiptonNYT: His work helped industry protect its most toxic chemicals from regulation. Now he's set to lead EPA toxics program  http…,2017-09-20 00:17:03+00:00,15,0.3818,0.11,0.89,0.0
